ID,Weight in Thousands,gender,hhsize,age,educat,Month,Region
10162,1.371532971,Female,5,23,2,1,6
10163,2.307293493,Male,2,35,7,1,1
10164,1.503389225,Female,1,63,3,1,6
10165,2.027156551,Male,2,46,6,1,3
10166,2.357137132,Female,3,33,6,1,1
10167,2.294169554,Female,1,29,4,1,1
10168,1.548909776,Female,3,69,2,1,3
10169,1.411567836,Female,5,22,6,1,3
10170,1.963387221,Male,3,36,4,1,3
10171,1.218970606,Male,4,44,4,1,7
10172,2.1546885,Female,1,90,4,1,7
10173,1.410930632,Female,6,45,2,1,3
10174,1.89499174,Female,1,48,7,1,9
10175,1.594656138,Female,6,20,2,1,5
10176,1.611732252,Female,2,64,2,1,2
10177,1.683428251,Male,4,23,4,1,3
10178,2.237100021,Male,2,46,4,1,5
10179,1.306177286,Female,3,66,3,1,5
10180,2.04589071,Female,3,47,6,1,1
10181,1.417521787,Female,4,16,2,1,1
10182,1.472778871,Female,2,74,1,1,7
10183,1.942239256,Male,3,44,7,1,9
10184,1.520325498,Female,2,59,4,1,1
10185,2.4703063,Female,2,30,5,1,5
10187,1.481962633,Male,2,71,2,1,1
10188,1.127229631,Female,3,43,4,1,10
10189,2.322114283,Male,3,30,4,1,1
10190,1.548909776,Female,3,65,5,1,3
10191,1.437099435,Male,5,30,5,1,3
10192,1.659308026,Male,1,59,4,1,3
10193,1.577151023,Male,4,41,2,1,1
10194,2.211073299,Female,4,34,3,1,9
10195,1.507532847,Female,1,70,3,1,3
10196,1.926368783,Male,3,63,7,1,9
10197,1.761038335,Female,2,73,3,1,4
10198,1.373071424,Female,6,21,2,1,2
10199,1.639944558,Male,1,57,3,1,1
10200,1.197771657,Female,4,18,3,1,7
10201,1.849208135,Male,3,18,3,1,2
10202,1.231564588,Male,4,19,3,1,9
10203,1.404208645,Female,1,48,3,1,4
10204,1.939546583,Male,3,24,4,1,6
10205,1.816933381,Female,1,47,7,1,5
10206,1.470291831,Female,2,56,4,1,7
10207,1.327818152,Female,2,66,2,1,5
10208,1.691568635,Male,3,52,4,1,1
10209,1.973050122,Female,3,23,3,1,3
10210,1.890283764,Male,1,76,4,1,6
10211,1.951039073,Female,2,23,3,1,2
10212,1.807388076,Male,8,36,3,1,9
10213,1.570244369,Female,2,56,4,1,6
10214,1.520325498,Female,2,59,5,1,1
10215,1.520325498,Female,2,62,3,1,1
10216,1.899881746,Male,1,48,4,1,10
10217,1.571777176,Male,4,44,3,1,6
10218,1.22403037,Female,4,54,7,1,5
10220,1.24934012,Male,5,43,7,1,10
10221,2.579290721,Female,3,29,6,1,9
10222,2.430045089,Female,3,25,6,1,5
10223,1.614897479,Male,4,22,4,1,5
10224,1.410073443,Female,1,67,2,1,7
10225,0.887350272,Female,6,42,6,1,4
10226,1.451529356,Female,2,54,5,1,5
10227,1.443689588,Male,4,42,3,1,2
10228,1.426640179,Male,6,47,6,1,3
10229,1.574798484,Male,4,21,4,1,9
10230,1.686352984,Female,5,28,5,1,1
10231,2.840299923,Male,3,30,4,1,11
10232,1.233079636,Female,5,27,4,1,4
10234,1.659504145,Female,3,20,3,1,7
10235,1.860589355,Male,3,25,4,1,5
10238,1.824628429,Female,3,24,3,1,10
10239,1.860589355,Male,3,27,6,1,5
10240,1.311093515,Male,2,67,2,1,3
10241,1.611722451,Male,2,53,2,1,5
10242,1.848714227,Male,2,35,6,1,5
10243,1.600113388,Male,4,47,2,1,11
10244,1.511025176,Female,2,62,7,1,3
10245,2.526316605,Male,3,38,7,1,9
10246,2.08313385,Female,4,27,3,1,5
10247,1.418866195,Male,1,67,4,1,1
10248,1.39795766,Male,4,63,6,1,6
10252,1.989205886,Female,2,37,7,1,3
10253,1.46720337,Male,4,54,7,1,3
10254,1.031395882,Male,4,16,2,1,9
10255,1.574572257,Female,2,67,3,1,3
10256,2.265895552,Female,2,22,4,1,5
10257,2.141852652,Male,1,49,6,1,5
10258,2.008737479,Male,3,29,4,1,3
10259,1.122074538,Female,4,42,4,1,2
10260,2.307293493,Male,2,39,7,1,1
10262,1.137163423,Male,5,46,6,1,7
10263,2.056550103,Male,3,45,4,1,1
10264,1.407714632,Female,3,44,3,1,7
10265,1.605421724,Male,2,62,4,1,5
10267,1.204854534,Male,5,42,2,1,2
10268,1.225869407,Male,5,50,3,1,2
10269,1.778293896,Male,3,17,3,1,5
10270,1.377333637,Male,2,66,4,1,5
10271,1.335382694,Female,1,57,7,1,10
10272,3.723729507,Female,4,14,2,1,4
10273,1.945670129,Male,4,35,7,1,1
10274,1.209125942,Female,6,18,3,1,14
10275,1.524426122,Male,4,17,4,1,5
10276,1.561260239,Male,2,75,2,1,9
10277,1.748571627,Female,3,54,6,1,14
10278,2.836646532,Male,2,42,2,1,8
10279,1.462215355,Male,3,51,2,1,10
10280,1.28734339,Female,5,18,3,1,4
10281,2.008737479,Male,3,28,3,1,3
10282,1.507384993,Female,4,16,2,1,5
10283,1.600299191,Female,4,46,6,1,5
10284,1.231866087,Male,5,54,2,1,4
10285,1.739898629,Male,2,54,2,1,3
10286,1.623790526,Male,5,37,6,1,1
10287,1.550071918,Male,3,24,6,1,7
10288,1.939546583,Male,3,23,4,1,6
10289,1.863908581,Male,2,41,6,1,6
10290,1.477509676,Female,4,26,5,1,4
10291,1.901776826,Female,4,34,6,1,13
10292,1.687652065,Male,4,43,7,1,5
10293,1.615830197,Male,2,48,7,1,7
10294,2.360587287,Male,2,31,4,1,1
10295,1.455595713,Female,1,64,6,1,1
10297,1.605421724,Male,2,55,2,1,5
10298,1.055026841,Female,5,56,6,1,9
10299,1.614897479,Male,4,23,6,1,5
10300,1.659308026,Male,1,63,5,1,3
10301,1.669050599,Female,4,49,3,1,9
10302,1.258306782,Female,5,41,6,1,1
10303,1.800939319,Female,4,37,7,1,14
10304,1.996259648,Male,1,71,7,1,2
10305,1.891415771,Male,2,29,4,1,5
10306,1.66129679,Male,5,25,7,1,1
10307,1.408457371,Male,5,42,7,1,5
10309,1.509050834,Female,6,36,3,1,9
10310,1.408457371,Male,5,43,6,1,5
10311,1.94035125,Male,2,75,1,1,7
10312,2.396190398,Female,2,33,6,1,1
10313,1.789765643,Female,1,61,5,1,14
10314,1.470291831,Female,2,63,4,1,7
10315,2.08313385,Female,4,30,6,1,5
10318,1.089286267,Female,5,45,6,1,2
10319,2.360587287,Male,2,31,6,1,1
10320,1.661088216,Female,2,71,3,1,2
10321,1.703558744,Female,4,37,4,1,5
10322,1.122074538,Female,4,42,7,1,2
10323,1.945670129,Male,4,39,7,1,1
10324,1.675870769,Male,1,54,2,1,4
10325,1.88383175,Male,3,20,4,1,5
10326,1.691676151,Male,7,22,6,1,2
10327,2.207598544,Male,2,38,2,1,4
10328,1.285646262,Male,2,22,9,1,4
